,WELL_NAME,flag,max_rate,max_oil_rate,first_fluid_date,colors,3_month_cum_oil
0,CHAPMAN-15H,21492,14791,3631,9/25/2018,aliceblue,147585
1,COOPER-12H,20524,6708,2772,2/15/2019,antiquewhite,116737
2,COOPER-15H,21219,11784,3642,1/5/2019,aqua,122233
3,COOPER-83H,20647,6589,2269,2/28/2019,aquamarine,93797
4,COOPER-84H,20763,6733,2612,2/13/2019,azure,94121
5,JANEY-81H,21386,12577,4202,5/30/2019,beige,196496
6,LYDA-16H,21669,7130,3203,5/19/2017,bisque,171127
7,PECK-STATE-11H,20906,10769,4101,9/25/2018,black,190638
8,SILVERTIP 76-10 UNIT G 1H,1,6672.44,1512.57,9/23/2017,blanchedalmond,54442.49
9,SILVERTIP 76-10 UNIT H 1H,691,6274,1755.73,12/11/2017,blue,93201.96
10,SILVERTIP 76-11 UNIT I 1H,1302,6047.6,1125.73,12/5/2017,blueviolet,54696.5
11,SILVERTIP 76-11 UNIT J 1H,1919,6810.91,1443.4,4/26/2018,brown,86211.49
12,SILVERTIP 76-12 UNIT K 1H,2394,6365.09,1150,4/28/2018,burlywood,56564.63
13,SILVERTIP 76-12 UNIT L 1H,2867,7588.63,889.3,11/23/2017,cadetblue,42810.67
14,SILVERTIP 76-13 UNIT W 1H,3496,6100,1366.58,4/17/2018,chartreuse,82459.6
15,SILVERTIP 76-13 X 1H,3980,7757.69,1453.69,11/14/2017,chocolate,66725.8
16,SILVERTIP 76-14 UNIT U 1H,4618,6195.16,996.09,1/11/2018,coral,59692
17,SILVERTIP 76-14 V 1H,5198,6304.51,1077,4/28/2018,cornflowerblue,57587.1
18,SILVERTIP 76-15 T 1H,5671,6738.14,1813.14,1/6/2018,cornsilk,81563.58
19,SILVERTIP 76-15 UNIT S 1H,6256,8600.62,3214.18,10/3/2017,crimson,131595
20,SILVERTIP 76-16 UNIT Q 1H,6936,6725.02,2410.49,4/28/2017,cyan,11307.16
21,SILVERTIP 76-16 UNIT R 1H,7774,7444.86,2430.26,10/13/2017,darkblue,80896.81
22,SILVERTIP 76-17 P 1H,8444,13147,2474.41,1/25/2017,darkcyan,2.13E-14
23,SILVERTIP 76-17 UNIT O 1H,9375,7814.92,2811.92,12/25/2016,darkgoldenrod,10740.57
24,SILVERTIP 76-18 N 1H,10337,4156.13,1869.13,5/20/2017,darkgray,28756.8
25,SILVERTIP 76-18 UNIT M 1H,11153,5408,1499,8/7/2018,darkgrey,16969.65
26,SILVERTIP 76-7 UNIT A 10H,11526,10563,4052,11/30/2018,darkgreen,191429
27,SILVERTIP 76-7 UNIT A 1H,11783,8899,2385,10/24/2018,darkkhaki,99255
28,SILVERTIP 76-7 UNIT A 2H,12077,16364,4219,8/29/2018,darkmagenta,267719.52
29,SILVERTIP 76-7 UNIT A 3H,12427,13069,4266,9/25/2018,darkolivegreen,238002
30,SILVERTIP 76-7 UNIT A 4H,12750,7850,1865,12/6/2018,darkorange,71752
31,SILVERTIP 76-7 UNIT A 5H,13001,14068,4126,10/11/2018,darkorchid,246458
32,SILVERTIP 76-7 UNIT A 6H,13308,7122,1381,12/15/2018,darkred,50894
33,SILVERTIP 76-7 UNIT A 7H,13550,14511,3551,11/14/2018,darksalmon,147811
34,SILVERTIP 76-7 UNIT A 8H,13823,13218,4100,10/18/2018,darkseagreen,246944
35,SILVERTIP 76-7 UNIT A 9H,14123,11322,2422,11/20/2018,darkslateblue,111595
36,SILVERTIP 76-7 UNIT B 1H,14390,7124,2260,5/11/2017,green,33148.36
37,SILVERTIP 76-7 UNIT B 2H,15215,9408,4101,12/13/2018,red,174169
38,SILVERTIP 76-7 UNIT B 3H,15459,11311,2745,12/19/2018,yellow,115582
39,SILVERTIP 76-8 D 1H,15697,4892.52,1560.42,5/18/2017,indigo,13404.27
40,SILVERTIP 76-8 UNIT C 1H,16515,8154.52,1199.52,4/30/2017,maroon,8944.04
41,SILVERTIP 76-9 UNIT E 1H,17351,6172.73,2456,5/8/2017,magenta,13956.96
42,SILVERTIP 76-9 UNIT F 1H,18179,7518.43,1842.45,4/30/2017,purple,5606.95
43,SILVERTIP UNIT Y 1H,19015,9781,1290.93,3/10/2018,darkslateblue,15273.85
44,SILVERTIP UNIT Z 2H,19537,8761,1207.81,4/5/2018,royalblue,33170.34
45,THRESHER 54-1-13 1H,20033,5230,1076,4/10/2018,deeppink,1068.27
